WMO,CYCLE_NUMBER,Category,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME
5904845,79,1,340,-49.603,-29.727,2019-03-15
5904845,29,2,460,-56.461,-71.741,2017-10-29
5904845,1,0,420,-59.147,-102.937,2017-01-20
5904684,136,2,260,-63.209,131.977,2020-03-22
6904113,14,0,220,56.9446,-48.98669,2021-09-13
6904113,36,0,380,56.1147152859357,-46.26020897153941,2021-10-28
2903455,18,2,260,-56.8453,-130.0613,2023-12-03
2903455,38,2,420,-55.1823,-120.5655,2024-06-26
5904474,131,1,460,-37.467,32.628,2018-02-09
5904474,133,2,300,-39.135,33.325,2018-03-01
5903612,69,1,260,-43.602,13.415,2013-02-13
6901688,77,1,260,-47.71046,39.628303333333335,2015-12-20
6901515,69,0,420,64.61372166666666,-28.796975,2014-01-16
6901515,10,1,540,62.60169,-20.756413333333334,2013-04-28
5904679,14,1,420,-54.299,84.701,2016-06-01
5904679,8,1,300,-48.899,82.369,2016-03-31
5904682,144,1,220,-61.569,173.751,2020-03-21
5904682,126,0,220,-57.17,166.763,2019-09-17
5904682,131,2,300,-59.011,173.487,2019-11-08
5904682,2,1,460,-50.834,90.499,2016-03-12
5904682,125,1,220,-55.416,164.442,2019-09-06
5904682,4,1,340,-49.55,90.482,2016-04-02
5904682,129,0,380,-59.206,168.592,2019-10-18
6902904,138,1,340,35.139026666666666,27.724785,2020-03-17
6902904,122,1,220,35.764541666666666,28.220336666666668,2020-02-07
6902904,37,1,220,35.488665,28.933911666666667,2019-03-13
6902904,41,1,220,35.600946666666665,29.12082,2019-03-25
6902904,28,1,220,35.204793333333335,28.82955,2019-02-14
6902904,124,1,300,35.71095666666667,28.094865,2020-02-13
6902904,31,2,220,35.31964166666667,28.999815,2019-02-23
6902904,121,1,260,35.79562333333333,28.313776666666666,2020-02-04
5906305,143,2,500,-30.5473,-80.0311,2024-09-15
5904686,27,3,340,-51.115,98.089,2016-11-12
5904686,28,1,380,-50.59,98.673,2016-11-22
5904686,22,1,300,-51.215,92.988,2016-09-23
5904686,24,1,220,-50.715,94.333,2016-10-13
5904686,20,1,300,-50.866,93.467,2016-09-03
5904686,26,1,260,-51.608,97.09,2016-11-02
5904661,32,1,260,-53.579,-54.611,2016-11-14
5904661,135,2,380,-45.223,-30.089,2019-10-15
5904661,56,1,460,-46.513,-52.409,2017-07-21
5904661,55,1,460,-45.175,-51.666,2017-07-10
